Cefoperazone	Clindamycin	Streptomycin	ko	gene	pathway
0.487179487179487	0.320512820512821	0.192307692307692	K02313	dnaA;_chromosomal_replication_initiation_protein	Two-component_system;Environmental_Information_Processing;Signal_transduction
0.533333333333333	0.283333333333333	0.183333333333333	none	dnaN;_DNA_polymerase_III_subunit_beta_(EC:2.7.7.7)	none
0.483870967741935	0.306451612903226	0.209677419354839	K14761	RNA-binding_mediating_protein	none
0.5125	0.2875	0.2	K03629	recF;_DNA_replication_and_repair_protein_RecF	Homologous_recombination;Genetic_Information_Processing;Replication_and_repair
0.528735632183908	0.298850574712644	0.172413793103448	K02470	gyrB;_DNA_gyrase_subunit_B_(EC:5.99.1.3)	none
0.495238095238095	0.285714285714286	0.219047619047619	K02469	gyrA;_DNA_gyrase_subunit_A_(EC:5.99.1.3)	none
0.32258064516129	0.193548387096774	0.483870967741935	none	hypothetical_protein	none
0.310344827586207	0.275862068965517	0.413793103448276	none	hypothetical_protein	none
0.352941176470588	0.264705882352941	0.382352941176471	K04749	rsbV;_anti-anti-sigma_factor	none
0.268292682926829	0.317073170731707	0.414634146341463	K04757	rsbW;_serine-protein_kinase_RsbW	none
0.295454545454545	0.295454545454545	0.409090909090909	K03090	sigB;_RNA_polymerase_sigma-B_factor_(Sigma-37)	none
0.4	0.2	0.4	K07105	small-molecule-binding_protein	none
0.419354838709677	0.225806451612903	0.354838709677419	none	mechanosensitive_ion_channel_protein	none
0.434108527131783	0.255813953488372	0.310077519379845	K01875	serS1;_seryl-tRNA_ligase_(EC:6.1.1.11)	Aminoacyl-tRNA_biosynthesis;Genetic_Information_Processing;Translation
0.327102803738318	0.299065420560748	0.373831775700935	none	tadA;_transfer_RNA_specific_adenosine_deaminase_(EC:3.5.4.-)	none
0.419354838709677	0.354838709677419	0.225806451612903	K02343	dnaX;_DNA_polymerase_III_subunits_gamma_and_tau_(EC:2.7.7.7)	Purine_metabolism;Metabolism;Nucleotide_metabolism|Pyrimidine_metabolism;Metabolism;Nucleotide_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|DNA_replication;Genetic_Information_Processing;Replication_and_repair|Mismatch_repair;Genetic_Information_Processing;Replication_and_repair|Homologous_recombination;Genetic_Information_Processing;Replication_and_repair
0.4125	0.325	0.2625	K09747	DNA_binding_protein	none
0.398601398601399	0.342657342657343	0.258741258741259	K06187	recR;_DNA_repair_and_recombination_protein	Homologous_recombination;Genetic_Information_Processing;Replication_and_repair
0.3	0.325	0.375	none	hypothetical_protein	none
0.297297297297297	0.216216216216216	0.486486486486487	K03429	glycosyl_transferase_family_protein_(EC:2.4.1.-)	Glycerolipid_metabolism;Metabolism;Lipid_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps
0.684210526315789	0.210526315789474	0.105263157894737	none	hypothetical_protein	none
0.376623376623377	0.415584415584416	0.207792207792208	K01958	pycA;_pyruvate_carboxylase_(EC:6.4.1.1)	Citrate_cycle_(TCA_cycle);Metabolism;Carbohydrate_metabolism|Pyruvate_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Carbon_metabolism;Metabolism;Global_and_overview_maps|Biosynthesis_of_amino_acids;Metabolism;Global_and_overview_maps
0.0875576036866359	0.205069124423963	0.707373271889401	none	fusA1;_elongation_factor_G_(EF-G)	none
0.25	0.3	0.45	none	CtsR_family_transcriptional_regulator	none
0.227272727272727	0.318181818181818	0.454545454545455	none	mcsA;_activator_of_protein_kinase_McsB	none
0.18	0.36	0.46	none	mcsB;_ATP:guanido_phosphotransferase_(EC:2.7.3.-)	none
0.205607476635514	0.327102803738318	0.467289719626168	K03696	clpC;_class_III_stress_response-related_ATPase	none
0.376811594202899	0.304347826086957	0.318840579710145	K04485	radA;_DNA_repair_protein_RadA_(EC:2.1.1.63)	none
0.343283582089552	0.26865671641791	0.388059701492537	K07067	disA;_DNA_integrity_scanning_protein_DisA	none
0.428571428571429	0.266233766233766	0.305194805194805	none	membrane_protein	none
0.617021276595745	0.212765957446809	0.170212765957447	none	membrane_protein	none
0	0.428571428571429	0.571428571428571	K01198	glycoside_hydrolase_(EC:3.2.1.-)	Starch_and_sucrose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps
0.142857142857143	0.428571428571429	0.428571428571429	K00161	acoA;_acetoin_dehydrogenase_E1_component_subunit_alpha_(EC:1.2.4.1)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Citrate_cycle_(TCA_cycle);Metabolism;Carbohydrate_metabolism|Pyruvate_metabolism;Metabolism;Carbohydrate_metabolism|Butanoate_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Carbon_metabolism;Metabolism;Global_and_overview_maps
0.181818181818182	0.454545454545455	0.363636363636364	K00162	acoB;_acetoin_dehydrogenase_E1_component_subunit_beta_(EC:1.2.4.1)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Citrate_cycle_(TCA_cycle);Metabolism;Carbohydrate_metabolism|Pyruvate_metabolism;Metabolism;Carbohydrate_metabolism|Butanoate_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Carbon_metabolism;Metabolism;Global_and_overview_maps
0.166666666666667	0.416666666666667	0.416666666666667	K00627	acoC;_acetoin_dehydrogenase_E2_component_(dihydrolipoamide_acetyltransferase)_(EC:2.3.1.12)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Citrate_cycle_(TCA_cycle);Metabolism;Carbohydrate_metabolism|Pyruvate_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Carbon_metabolism;Metabolism;Global_and_overview_maps
0.166666666666667	0.416666666666667	0.416666666666667	K00382	acoL;_acetoin_dehydrogenase_E3_component_(dihydrolipoamide_dehydrogenase)_(EC:1.8.1.4)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Citrate_cycle_(TCA_cycle);Metabolism;Carbohydrate_metabolism|Glycine,_serine_and_threonine_metabolism;Metabolism;Amino_acid_metabolism|Valine,_leucine_and_isoleucine_degradation;Metabolism;Amino_acid_metabolism|Pyruvate_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Biosynthesis_of_secondary_metabolites;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Carbon_metabolism;Metabolism;Global_and_overview_maps
